Year,ID,Group,Value,Measure
2003,S08000019,16-19,127,Age
2003,S08000015,16-19,171,Age
2003,S08000029,16-19,205,Age
2003,S08000032,16-19,280,Age
2003,S08000020,16-19,304,Age
2003,S08000030,16-19,321,Age
2003,S08000024,16-19,525,Age
2003,S08000031,16-19,578,Age
2003,S00000000,16-19,*,Age
2004,S08000025,16-19,19,Age
2004,S08000016,16-19,52,Age
2004,S08000017,16-19,64,Age
2004,S08000022,16-19,127,Age
2004,S08000019,16-19,145,Age
2004,S08000015,16-19,172,Age
2004,S08000029,16-19,183,Age
2004,S08000030,16-19,308,Age
2004,S08000032,16-19,317,Age
2004,S08000020,16-19,351,Age
2004,S08000024,16-19,527,Age
2004,S08000031,16-19,640,Age
2004,S00000000,16-19,*,Age
2005,S08000025,16-19,8,Age
2005,S00000000,16-19,9,Age
2005,S08000016,16-19,41,Age
2005,S08000017,16-19,72,Age
2005,S08000022,16-19,110,Age
2005,S08000019,16-19,175,Age
2005,S08000029,16-19,199,Age
2005,S08000015,16-19,200,Age
2005,S08000030,16-19,317,Age
2005,S08000032,16-19,325,Age
2005,S08000020,16-19,335,Age
2005,S08000024,16-19,534,Age
2005,S08000031,16-19,655,Age
2006,S00000000,16-19,8,Age
2006,S08000025,16-19,16,Age
2006,S08000016,16-19,38,Age
2006,S08000017,16-19,77,Age
2006,S08000022,16-19,129,Age
2006,S08000019,16-19,151,Age
2006,S08000015,16-19,201,Age
2006,S08000029,16-19,241,Age
2006,S08000030,16-19,302,Age
2006,S08000020,16-19,323,Age
2006,S08000032,16-19,360,Age
2006,S08000024,16-19,530,Age
2006,S08000031,16-19,725,Age
2007,S08000025,16-19,9,Age
2007,S00000000,16-19,10,Age
2007,S08000016,16-19,42,Age
2007,S08000017,16-19,74,Age
2007,S08000022,16-19,133,Age
2007,S08000019,16-19,158,Age
2007,S08000015,16-19,204,Age
2007,S08000029,16-19,251,Age
2007,S08000030,16-19,341,Age
2007,S08000020,16-19,348,Age
2007,S08000032,16-19,353,Age
2007,S08000024,16-19,587,Age
2007,S08000031,16-19,687,Age
2008,S00000000,16-19,5,Age
2008,S08000025,16-19,22,Age
2008,S08000016,16-19,56,Age
2008,S08000017,16-19,72,Age
2008,S08000022,16-19,142,Age
2008,S08000019,16-19,164,Age
2008,S08000015,16-19,196,Age
2008,S08000029,16-19,237,Age
2008,S08000030,16-19,289,Age
2008,S08000020,16-19,324,Age
2008,S08000032,16-19,383,Age
2008,S08000024,16-19,577,Age
2008,S08000031,16-19,687,Age
2009,S00000000,16-19,7,Age
2009,S08000025,16-19,18,Age
2009,S08000016,16-19,32,Age
2009,S08000017,16-19,80,Age
2009,S08000022,16-19,116,Age
2009,S08000019,16-19,153,Age
2009,S08000015,16-19,183,Age
2009,S08000029,16-19,211,Age
2009,S08000020,16-19,288,Age
2009,S08000030,16-19,302,Age
2009,S08000032,16-19,369,Age
2009,S08000024,16-19,503,Age
2009,S08000031,16-19,627,Age
2010,S08000025,16-19,5,Age
2010,S00000000,16-19,5,Age
2010,S08000016,16-19,55,Age
2010,S08000017,16-19,69,Age
2010,S08000022,16-19,137,Age
2010,S08000019,16-19,164,Age
2010,S08000015,16-19,191,Age
2010,S08000029,16-19,224,Age
2010,S08000030,16-19,258,Age
2010,S08000020,16-19,271,Age
2010,S08000032,16-19,340,Age
2010,S08000024,16-19,471,Age
2010,S08000031,16-19,592,Age
2011,S00000000,16-19,5,Age
2011,S08000025,16-19,11,Age
2011,S08000016,16-19,44,Age
2011,S08000017,16-19,71,Age
2011,S08000019,16-19,117,Age
2011,S08000022,16-19,131,Age
2011,S08000015,16-19,162,Age
2011,S08000029,16-19,205,Age
2011,S08000030,16-19,232,Age
2011,S08000020,16-19,240,Age
2011,S08000032,16-19,302,Age
2011,S08000024,16-19,434,Age
2011,S08000031,16-19,488,Age
2012,S00000000,16-19,6,Age
2012,S08000025,16-19,16,Age
2012,S08000016,16-19,28,Age
2012,S08000017,16-19,43,Age
2012,S08000022,16-19,109,Age
2012,S08000019,16-19,128,Age
2012,S08000015,16-19,146,Age
2012,S08000029,16-19,195,Age
2012,S08000030,16-19,198,Age
2012,S08000020,16-19,243,Age
2012,S08000032,16-19,275,Age
2012,S08000024,16-19,403,Age
2012,S08000031,16-19,474,Age
2013,S00000000,16-19,6,Age
2013,S08000025,16-19,17,Age
2013,S08000016,16-19,30,Age
2013,S08000017,16-19,49,Age
2013,S08000022,16-19,96,Age
2013,S08000015,16-19,109,Age
2013,S08000019,16-19,114,Age
2013,S08000030,16-19,190,Age
2013,S08000020,16-19,197,Age
2013,S08000029,16-19,197,Age
2013,S08000032,16-19,230,Age
2013,S08000024,16-19,398,Age
2013,S08000031,16-19,439,Age
2014,S08000025,16-19,14,Age
2014,S08000016,16-19,26,Age
2014,S08000017,16-19,46,Age
2014,S08000022,16-19,102,Age
2014,S08000015,16-19,110,Age
2014,S08000029,16-19,123,Age
2014,S08000019,16-19,129,Age
2014,S08000030,16-19,170,Age
2014,S08000032,16-19,192,Age
2014,S08000020,16-19,196,Age
2014,S08000024,16-19,356,Age
2014,S08000031,16-19,368,Age
2014,S00000000,16-19,*,Age
2015,S08000016,16-19,23,Age
2015,S08000017,16-19,37,Age
2015,S08000022,16-19,90,Age
2015,S08000015,16-19,101,Age
2015,S08000019,16-19,111,Age
2015,S08000029,16-19,125,Age
2015,S08000020,16-19,161,Age
2015,S08000030,16-19,164,Age
2015,S08000032,16-19,247,Age
2015,S08000024,16-19,356,Age
2015,S08000031,16-19,393,Age
2015,S08000025,16-19,*,Age
2015,S00000000,16-19,*,Age
2016,S08000025,16-19,5,Age
2016,S08000016,16-19,32,Age
2016,S08000017,16-19,35,Age
2016,S08000022,16-19,81,Age
2016,S08000015,16-19,100,Age
2016,S08000019,16-19,123,Age
2016,S08000029,16-19,133,Age
2016,S08000030,16-19,161,Age
2016,S08000020,16-19,162,Age
2016,S08000032,16-19,251,Age
2016,S08000024,16-19,341,Age
2016,S08000031,16-19,341,Age
2017,S08000016,16-19,28,Age
2017,S08000017,16-19,41,Age
2017,S08000022,16-19,73,Age
2017,S08000019,16-19,109,Age
2017,S08000015,16-19,114,Age
2017,S08000029,16-19,130,Age
2017,S08000020,16-19,151,Age
2017,S08000030,16-19,184,Age
2017,S08000032,16-19,221,Age
2017,S08000024,16-19,322,Age
2017,S08000031,16-19,379,Age
2017,S08000025,16-19,*,Age
2017,S00000000,16-19,*,Age
2018,S08000025,16-19,9,Age
2018,S08000016,16-19,29,Age
2018,S08000017,16-19,31,Age
2018,S08000022,16-19,78,Age
2018,S08000015,16-19,108,Age
2018,S08000019,16-19,119,Age
2018,S08000029,16-19,122,Age
2018,S08000030,16-19,156,Age
2018,S08000020,16-19,186,Age
2018,S08000032,16-19,223,Age
2018,S08000031,16-19,323,Age
2018,S08000024,16-19,333,Age
2018,S00000000,16-19,*,Age
2019,S08000025,16-19,13,Age
2019,S08000016,16-19,25,Age
2019,S08000017,16-19,26,Age
2019,S08000022,16-19,73,Age
2019,S08000015,16-19,97,Age
2019,S08000019,16-19,113,Age
2019,S08000029,16-19,138,Age
2019,S08000020,16-19,152,Age
2019,S08000030,16-19,172,Age
2019,S08000032,16-19,216,Age
2019,S08000024,16-19,294,Age
2019,S08000031,16-19,383,Age
2019,S00000000,16-19,*,Age
2020,S08000025,16-19,12,Age
2020,S08000016,16-19,19,Age
2020,S08000017,16-19,32,Age
2020,S08000022,16-19,62,Age
2020,S08000019,16-19,81,Age
2020,S08000015,16-19,83,Age
2020,S08000029,16-19,104,Age
2020,S08000020,16-19,150,Age
2020,S08000030,16-19,156,Age
2020,S08000032,16-19,184,Age
2020,S08000024,16-19,257,Age
2020,S08000031,16-19,397,Age
2020,S00000000,16-19,*,Age
1992,S00000000,20-24,8,Age
1992,S08000025,20-24,40,Age
1992,S08000016,20-24,44,Age
1992,S08000017,20-24,76,Age
1992,S08000019,20-24,157,Age
1992,S08000022,20-24,165,Age
1992,S08000015,20-24,193,Age
1992,S08000029,20-24,250,Age
1992,S08000032,20-24,295,Age
1992,S08000030,20-24,359,Age
1992,S08000020,20-24,373,Age
1992,S08000024,20-24,679,Age
1992,S08000031,20-24,739,Age
1993,S08000016,20-24,34,Age
1993,S08000025,20-24,36,Age
1993,S08000017,20-24,63,Age
1993,S08000019,20-24,135,Age
1993,S08000022,20-24,196,Age
1993,S08000015,20-24,200,Age
1993,S08000029,20-24,221,Age
1993,S08000032,20-24,306,Age
1993,S08000030,20-24,339,Age
1993,S08000020,20-24,373,Age
1993,S08000024,20-24,640,Age
1993,S08000031,20-24,821,Age
1993,S00000000,20-24,*,Age
1994,S00000000,20-24,7,Age
1994,S08000025,20-24,28,Age
1994,S08000016,20-24,46,Age
1994,S08000017,20-24,64,Age
1994,S08000022,20-24,169,Age
1994,S08000019,20-24,196,Age
1994,S08000015,20-24,207,Age
1994,S08000029,20-24,228,Age
1994,S08000030,20-24,301,Age
1994,S08000032,20-24,325,Age
1994,S08000020,20-24,418,Age
1994,S08000024,20-24,712,Age
1994,S08000031,20-24,781,Age
1995,S08000025,20-24,28,Age
1995,S08000016,20-24,40,Age
1995,S08000017,20-24,60,Age
1995,S08000022,20-24,134,Age
1995,S08000019,20-24,160,Age
1995,S08000015,20-24,204,Age
1995,S08000029,20-24,236,Age
1995,S08000032,20-24,323,Age
1995,S08000030,20-24,338,Age
1995,S08000020,20-24,420,Age
1995,S08000024,20-24,674,Age
1995,S08000031,20-24,777,Age
1995,S00000000,20-24,*,Age
1996,S08000025,20-24,22,Age
1996,S08000016,20-24,41,Age
1996,S08000017,20-24,54,Age
1996,S08000019,20-24,168,Age
1996,S08000022,20-24,172,Age
1996,S08000015,20-24,199,Age
1996,S08000029,20-24,241,Age
1996,S08000032,20-24,302,Age
1996,S08000030,20-24,341,Age
1996,S08000020,20-24,434,Age
1996,S08000024,20-24,769,Age
1996,S08000031,20-24,826,Age
1996,S00000000,20-24,*,Age
1997,S00000000,20-24,6,Age
1997,S08000025,20-24,20,Age
1997,S08000016,20-24,40,Age
1997,S08000017,20-24,60,Age
1997,S08000019,20-24,162,Age
1997,S08000015,20-24,170,Age
1997,S08000022,20-24,170,Age
1997,S08000029,20-24,181,Age
1997,S08000032,20-24,264,Age
1997,S08000030,20-24,337,Age
1997,S08000020,20-24,422,Age
1997,S08000024,20-24,761,Age
1997,S08000031,20-24,849,Age
1998,S00000000,20-24,7,Age
1998,S08000025,20-24,14,Age
1998,S08000017,20-24,49,Age
1998,S08000016,20-24,51,Age
1998,S08000022,20-24,131,Age
1998,S08000015,20-24,156,Age
1998,S08000019,20-24,189,Age
1998,S08000029,20-24,200,Age
1998,S08000032,20-24,306,Age
