Year,ID,Group,Value,Measure
2016,S08000019,40+,33,Age
2016,S08000030,40+,34,Age
2016,S08000032,40+,58,Age
2016,S08000020,40+,60,Age
2016,S08000024,40+,99,Age
2016,S08000031,40+,103,Age
2016,S08000025,40+,*,Age
2016,S08000016,40+,*,Age
2016,S08000017,40+,*,Age
2017,S08000022,40+,23,Age
2017,S08000015,40+,29,Age
2017,S08000019,40+,32,Age
2017,S08000029,40+,33,Age
2017,S08000030,40+,37,Age
2017,S08000020,40+,46,Age
2017,S08000032,40+,55,Age
2017,S08000024,40+,110,Age
2017,S08000031,40+,114,Age
2017,S08000025,40+,*,Age
2017,S00000000,40+,*,Age
2017,S08000016,40+,*,Age
2017,S08000017,40+,*,Age
2018,S08000015,40+,34,Age
2018,S08000029,40+,38,Age
2018,S08000030,40+,40,Age
2018,S08000020,40+,46,Age
2018,S08000032,40+,61,Age
2018,S08000024,40+,128,Age
2018,S08000031,40+,128,Age
2018,S08000025,40+,*,Age
2018,S00000000,40+,*,Age
2018,S08000016,40+,*,Age
2018,S08000017,40+,*,Age
2018,S08000019,40+,*,Age
2018,S08000022,40+,*,Age
2019,S08000025,40+,5,Age
2019,S08000016,40+,8,Age
2019,S08000015,40+,21,Age
2019,S08000019,40+,36,Age
2019,S08000029,40+,38,Age
2019,S08000030,40+,39,Age
2019,S08000032,40+,66,Age
2019,S08000020,40+,71,Age
2019,S08000024,40+,121,Age
2019,S08000031,40+,136,Age
2019,S00000000,40+,*,Age
2019,S08000017,40+,*,Age
2019,S08000022,40+,*,Age
2020,S08000025,40+,5,Age
2020,S08000015,40+,30,Age
2020,S08000019,40+,32,Age
2020,S08000029,40+,37,Age
2020,S08000030,40+,54,Age
2020,S08000020,40+,73,Age
2020,S08000032,40+,80,Age
2020,S08000024,40+,146,Age
2020,S08000031,40+,148,Age
2020,S08000016,40+,*,Age
2020,S08000017,40+,*,Age
2020,S08000022,40+,*,Age
1992,S00000000,AllAges,29,Age
1992,S08000025,AllAges,102,Age
1992,S08000016,AllAges,181,Age
1992,S08000017,AllAges,251,Age
1992,S08000019,AllAges,530,Age
1992,S08000022,AllAges,574,Age
1992,S08000015,AllAges,675,Age
1992,S08000029,AllAges,754,Age
1992,S08000032,AllAges,1019,Age
1992,S08000030,AllAges,1069,Age
1992,S08000020,AllAges,1281,Age
1992,S08000024,AllAges,2004,Age
1992,S08000031,AllAges,2327,Age
1993,S00000000,AllAges,18,Age
1993,S08000025,AllAges,96,Age
1993,S08000016,AllAges,164,Age
1993,S08000017,AllAges,216,Age
1993,S08000019,AllAges,493,Age
1993,S08000022,AllAges,607,Age
1993,S08000015,AllAges,671,Age
1993,S08000029,AllAges,760,Age
1993,S08000032,AllAges,1035,Age
1993,S08000030,AllAges,1089,Age
1993,S08000020,AllAges,1361,Age
1993,S08000024,AllAges,2093,Age
1993,S08000031,AllAges,2461,Age
1994,S00000000,AllAges,25,Age
1994,S08000025,AllAges,103,Age
1994,S08000016,AllAges,190,Age
1994,S08000017,AllAges,234,Age
1994,S08000022,AllAges,550,Age
1994,S08000019,AllAges,576,Age
1994,S08000015,AllAges,734,Age
1994,S08000029,AllAges,753,Age
1994,S08000030,AllAges,1001,Age
1994,S08000032,AllAges,1029,Age
1994,S08000020,AllAges,1403,Age
1994,S08000024,AllAges,2280,Age
1994,S08000031,AllAges,2507,Age
1995,S00000000,AllAges,14,Age
1995,S08000025,AllAges,102,Age
1995,S08000016,AllAges,147,Age
1995,S08000017,AllAges,221,Age
1995,S08000022,AllAges,501,Age
1995,S08000019,AllAges,509,Age
1995,S08000015,AllAges,656,Age
1995,S08000029,AllAges,753,Age
1995,S08000032,AllAges,1041,Age
1995,S08000030,AllAges,1073,Age
1995,S08000020,AllAges,1355,Age
1995,S08000024,AllAges,2247,Age
1995,S08000031,AllAges,2522,Age
1996,S00000000,AllAges,21,Age
1996,S08000025,AllAges,96,Age
1996,S08000016,AllAges,163,Age
1996,S08000017,AllAges,219,Age
1996,S08000019,AllAges,568,Age
1996,S08000022,AllAges,579,Age
1996,S08000015,AllAges,686,Age
1996,S08000029,AllAges,737,Age
1996,S08000032,AllAges,1052,Age
1996,S08000030,AllAges,1128,Age
1996,S08000020,AllAges,1454,Age
1996,S08000024,AllAges,2503,Age
1996,S08000031,AllAges,2769,Age
1997,S00000000,AllAges,21,Age
1997,S08000025,AllAges,92,Age
1997,S08000016,AllAges,195,Age
1997,S08000017,AllAges,253,Age
1997,S08000019,AllAges,569,Age
1997,S08000022,AllAges,614,Age
1997,S08000015,AllAges,650,Age
1997,S08000029,AllAges,680,Age
1997,S08000032,AllAges,1032,Age
1997,S08000030,AllAges,1146,Age
1997,S08000020,AllAges,1476,Age
1997,S08000024,AllAges,2550,Age
1997,S08000031,AllAges,2824,Age
1998,S00000000,AllAges,27,Age
1998,S08000025,AllAges,83,Age
1998,S08000016,AllAges,177,Age
1998,S08000017,AllAges,244,Age
1998,S08000022,AllAges,591,Age
1998,S08000019,AllAges,601,Age
1998,S08000015,AllAges,700,Age
1998,S08000029,AllAges,784,Age
1998,S08000032,AllAges,1113,Age
1998,S08000030,AllAges,1248,Age
1998,S08000020,AllAges,1425,Age
1998,S08000024,AllAges,2606,Age
1998,S08000031,AllAges,2818,Age
1999,S00000000,AllAges,23,Age
1999,S08000025,AllAges,92,Age
1999,S08000016,AllAges,152,Age
1999,S08000017,AllAges,236,Age
1999,S08000022,AllAges,577,Age
1999,S08000019,AllAges,609,Age
1999,S08000015,AllAges,702,Age
1999,S08000029,AllAges,770,Age
1999,S08000030,AllAges,1111,Age
1999,S08000032,AllAges,1175,Age
1999,S08000020,AllAges,1343,Age
1999,S08000024,AllAges,2627,Age
1999,S08000031,AllAges,2751,Age
2000,S00000000,AllAges,18,Age
2000,S08000025,AllAges,86,Age
2000,S08000016,AllAges,168,Age
2000,S08000017,AllAges,257,Age
2000,S08000022,AllAges,526,Age
2000,S08000019,AllAges,608,Age
2000,S08000015,AllAges,693,Age
2000,S08000029,AllAges,823,Age
2000,S08000030,AllAges,1171,Age
2000,S08000032,AllAges,1200,Age
2000,S08000020,AllAges,1215,Age
2000,S08000024,AllAges,2554,Age
2000,S08000031,AllAges,2679,Age
2001,S00000000,AllAges,14,Age
2001,S08000025,AllAges,63,Age
2001,S08000016,AllAges,154,Age
2001,S08000017,AllAges,260,Age
2001,S08000022,AllAges,557,Age
2001,S08000019,AllAges,571,Age
2001,S08000015,AllAges,664,Age
2001,S08000029,AllAges,809,Age
2001,S08000030,AllAges,1066,Age
2001,S08000032,AllAges,1249,Age
2001,S08000020,AllAges,1266,Age
2001,S08000024,AllAges,2580,Age
2001,S08000031,AllAges,2875,Age
2002,S00000000,AllAges,16,Age
2002,S08000025,AllAges,91,Age
2002,S08000016,AllAges,176,Age
2002,S08000017,AllAges,231,Age
2002,S08000022,AllAges,528,Age
2002,S08000019,AllAges,566,Age
2002,S08000015,AllAges,666,Age
2002,S08000029,AllAges,844,Age
2002,S08000030,AllAges,1089,Age
2002,S08000032,AllAges,1204,Age
2002,S08000020,AllAges,1329,Age
2002,S08000024,AllAges,2442,Age
2002,S08000031,AllAges,2688,Age
2003,S00000000,AllAges,23,Age
2003,S08000025,AllAges,87,Age
2003,S08000016,AllAges,201,Age
2003,S08000017,AllAges,262,Age
2003,S08000022,AllAges,523,Age
2003,S08000019,AllAges,572,Age
2003,S08000015,AllAges,705,Age
2003,S08000029,AllAges,853,Age
2003,S08000032,AllAges,1170,Age
2003,S08000030,AllAges,1286,Age
2003,S08000020,AllAges,1352,Age
2003,S08000024,AllAges,2571,Age
2003,S08000031,AllAges,2704,Age
2004,S00000000,AllAges,23,Age
2004,S08000025,AllAges,82,Age
2004,S08000016,AllAges,208,Age
2004,S08000017,AllAges,281,Age
2004,S08000022,AllAges,509,Age
2004,S08000019,AllAges,595,Age
2004,S08000015,AllAges,734,Age
2004,S08000029,AllAges,824,Age
2004,S08000030,AllAges,1149,Age
2004,S08000032,AllAges,1301,Age
2004,S08000020,AllAges,1403,Age
2004,S08000024,AllAges,2560,Age
2004,S08000031,AllAges,2793,Age
2005,S00000000,AllAges,40,Age
2005,S08000025,AllAges,67,Age
2005,S08000016,AllAges,191,Age
2005,S08000017,AllAges,259,Age
2005,S08000022,AllAges,489,Age
2005,S08000019,AllAges,615,Age
2005,S08000015,AllAges,723,Age
2005,S08000029,AllAges,803,Age
2005,S08000030,AllAges,1241,Age
2005,S08000032,AllAges,1317,Age
2005,S08000020,AllAges,1357,Age
2005,S08000024,AllAges,2573,Age
2005,S08000031,AllAges,2990,Age
2006,S00000000,AllAges,36,Age
2006,S08000025,AllAges,73,Age
2006,S08000016,AllAges,238,Age
2006,S08000017,AllAges,296,Age
2006,S08000022,AllAges,534,Age
2006,S08000019,AllAges,628,Age
2006,S08000015,AllAges,813,Age
2006,S08000029,AllAges,864,Age
2006,S08000030,AllAges,1192,Age
2006,S08000020,AllAges,1344,Age
2006,S08000032,AllAges,1401,Age
2006,S08000024,AllAges,2552,Age
2006,S08000031,AllAges,3196,Age
2007,S00000000,AllAges,45,Age
2007,S08000025,AllAges,73,Age
2007,S08000016,AllAges,203,Age
2007,S08000017,AllAges,288,Age
2007,S08000022,AllAges,571,Age
2007,S08000019,AllAges,634,Age
2007,S08000015,AllAges,804,Age
2007,S08000029,AllAges,967,Age
2007,S08000030,AllAges,1299,Age
2007,S08000032,AllAges,1434,Age
2007,S08000020,AllAges,1557,Age
2007,S08000024,AllAges,2672,Age
2007,S08000031,AllAges,3231,Age
2008,S00000000,AllAges,36,Age
2008,S08000025,AllAges,67,Age
2008,S08000016,AllAges,207,Age
2008,S08000017,AllAges,293,Age
2008,S08000022,AllAges,521,Age
2008,S08000019,AllAges,687,Age
2008,S08000015,AllAges,812,Age
2008,S08000029,AllAges,1022,Age
2008,S08000030,AllAges,1193,Age
2008,S08000020,AllAges,1535,Age
2008,S08000032,AllAges,1564,Age
2008,S08000024,AllAges,2721,Age
2008,S08000031,AllAges,3250,Age
2009,S00000000,AllAges,39,Age
2009,S08000025,AllAges,81,Age
2009,S08000016,AllAges,150,Age
2009,S08000017,AllAges,294,Age
2009,S08000022,AllAges,471,Age
2009,S08000019,AllAges,641,Age
2009,S08000015,AllAges,734,Age
2009,S08000029,AllAges,951,Age
2009,S08000030,AllAges,1213,Age
2009,S08000020,AllAges,1468,Age
2009,S08000032,AllAges,1471,Age
2009,S08000024,AllAges,2536,Age
2009,S08000031,AllAges,3063,Age
2010,S00000000,AllAges,20,Age
2010,S08000025,AllAges,50,Age
2010,S08000016,AllAges,214,Age
2010,S08000017,AllAges,292,Age
2010,S08000022,AllAges,553,Age
2010,S08000019,AllAges,676,Age
2010,S08000015,AllAges,817,Age
2010,S08000029,AllAges,898,Age
2010,S08000030,AllAges,1121,Age
2010,S08000020,AllAges,1405,Age
2010,S08000032,AllAges,1549,Age
2010,S08000024,AllAges,2308,Age
2010,S08000031,AllAges,3046,Age
2011,S00000000,AllAges,26,Age
2011,S08000025,AllAges,64,Age
2011,S08000016,AllAges,208,Age
2011,S08000017,AllAges,294,Age
2011,S08000022,AllAges,552,Age
2011,S08000019,AllAges,624,Age
2011,S08000015,AllAges,730,Age
2011,S08000029,AllAges,885,Age
2011,S08000030,AllAges,1140,Age
2011,S08000020,AllAges,1339,Age
2011,S08000032,AllAges,1400,Age
2011,S08000024,AllAges,2450,Age
2011,S08000031,AllAges,2846,Age
2012,S00000000,AllAges,35,Age
2012,S08000025,AllAges,68,Age
2012,S08000016,AllAges,189,Age
2012,S08000017,AllAges,257,Age
2012,S08000022,AllAges,483,Age
2012,S08000019,AllAges,618,Age
2012,S08000015,AllAges,786,Age
2012,S08000029,AllAges,909,Age
2012,S08000030,AllAges,1111,Age
2012,S08000020,AllAges,1425,Age
2012,S08000032,AllAges,1452,Age
2012,S08000024,AllAges,2470,Age
2012,S08000031,AllAges,2767,Age
2013,S00000000,AllAges,28,Age
2013,S08000025,AllAges,64,Age
2013,S08000016,AllAges,177,Age
2013,S08000017,AllAges,231,Age
2013,S08000022,AllAges,482,Age
2013,S08000019,AllAges,648,Age
2013,S08000015,AllAges,697,Age
2013,S08000029,AllAges,876,Age
2013,S08000030,AllAges,1011,Age
2013,S08000032,AllAges,1353,Age
2013,S08000020,AllAges,1392,Age
2013,S08000024,AllAges,2337,Age
2013,S08000031,AllAges,2650,Age
2014,S00000000,AllAges,15,Age
2014,S08000025,AllAges,57,Age
2014,S08000016,AllAges,162,Age
2014,S08000017,AllAges,251,Age
2014,S08000022,AllAges,495,Age
2014,S08000019,AllAges,649,Age
2014,S08000015,AllAges,724,Age
2014,S08000029,AllAges,787,Age
2014,S08000030,AllAges,1021,Age
2014,S08000020,AllAges,1325,Age
2014,S08000032,AllAges,1351,Age
2014,S08000024,AllAges,2284,Age
2014,S08000031,AllAges,2660,Age
2015,S00000000,AllAges,16,Age
2015,S08000025,AllAges,52,Age
2015,S08000016,AllAges,142,Age
2015,S08000017,AllAges,235,Age
2015,S08000022,AllAges,502,Age
2015,S08000019,AllAges,634,Age
2015,S08000015,AllAges,746,Age
2015,S08000029,AllAges,849,Age
2015,S08000030,AllAges,1077,Age
2015,S08000020,AllAges,1306,Age
2015,S08000032,AllAges,1337,Age
2015,S08000024,AllAges,2423,Age
2015,S08000031,AllAges,2822,Age
2016,S00000000,AllAges,6,Age
2016,S08000025,AllAges,60,Age
2016,S08000016,AllAges,183,Age
2016,S08000017,AllAges,256,Age
2016,S08000022,AllAges,487,Age
2016,S08000015,AllAges,685,Age
2016,S08000019,AllAges,703,Age
2016,S08000029,AllAges,859,Age
2016,S08000030,AllAges,1050,Age
2016,S08000020,AllAges,1236,Age
2016,S08000032,AllAges,1426,Age
2016,S08000024,AllAges,2384,Age
2016,S08000031,AllAges,2789,Age
2017,S00000000,AllAges,14,Age
2017,S08000025,AllAges,67,Age
2017,S08000016,AllAges,192,Age
2017,S08000017,AllAges,257,Age
2017,S08000022,AllAges,474,Age
2017,S08000019,AllAges,706,Age
2017,S08000015,AllAges,729,Age
2017,S08000029,AllAges,879,Age
2017,S08000030,AllAges,1095,Age
2017,S08000020,AllAges,1247,Age
2017,S08000032,AllAges,1474,Age
2017,S08000024,AllAges,2431,Age
2017,S08000031,AllAges,2966,Age
2018,S00000000,AllAges,12,Age
2018,S08000025,AllAges,51,Age
2018,S08000016,AllAges,193,Age
2018,S08000017,AllAges,262,Age
2018,S08000022,AllAges,548,Age
2018,S08000019,AllAges,784,Age
2018,S08000015,AllAges,819,Age
2018,S08000029,AllAges,866,Age
2018,S08000030,AllAges,1188,Age
2018,S08000020,AllAges,1313,Age
2018,S08000032,AllAges,1582,Age
2018,S08000024,AllAges,2603,Age
2018,S08000031,AllAges,3130,Age
2019,S00000000,AllAges,14,Age
2019,S08000025,AllAges,71,Age
2019,S08000016,AllAges,197,Age
2019,S08000017,AllAges,254,Age
2019,S08000022,AllAges,555,Age
2019,S08000015,AllAges,757,Age
2019,S08000019,AllAges,812,Age
2019,S08000029,AllAges,910,Age
2019,S08000030,AllAges,1130,Age
2019,S08000020,AllAges,1378,Age
2019,S08000032,AllAges,1595,Age
2019,S08000024,AllAges,2627,Age
2019,S08000031,AllAges,3306,Age
2020,S00000000,AllAges,11,Age
2020,S08000025,AllAges,68,Age
2020,S08000016,AllAges,174,Age
2020,S08000017,AllAges,255,Age
2020,S08000022,AllAges,519,Age
2020,S08000019,AllAges,739,Age
2020,S08000015,AllAges,748,Age
2020,S08000029,AllAges,871,Age
2020,S08000030,AllAges,1186,Age
2020,S08000020,AllAges,1358,Age
2020,S08000032,AllAges,1678,Age
2020,S08000024,AllAges,2735,Age
2020,S08000031,AllAges,3473,Age
1992,S08000017,Under16,10,Age
1992,S08000019,Under16,12,Age
1992,S08000022,Under16,14,Age
1992,S08000015,Under16,25,Age
1992,S08000029,Under16,25,Age
1992,S08000032,Under16,25,Age
1992,S08000030,Under16,28,Age
1992,S08000024,Under16,29,Age
1992,S08000020,Under16,34,Age
1992,S08000031,Under16,38,Age
1992,S08000025,Under16,*,Age
1992,S00000000,Under16,*,Age
1992,S08000016,Under16,*,Age
1993,S08000022,Under16,13,Age
1993,S08000019,Under16,16,Age
1993,S08000015,Under16,26,Age
1993,S08000030,Under16,29,Age
1993,S08000029,Under16,30,Age
1993,S08000032,Under16,30,Age
1993,S08000020,Under16,36,Age
1993,S08000024,Under16,43,Age
1993,S08000031,Under16,51,Age
1993,S08000025,Under16,*,Age
1993,S08000016,Under16,*,Age
1993,S08000017,Under16,*,Age
1994,S08000016,Under16,7,Age
1994,S08000017,Under16,7,Age
1994,S08000022,Under16,10,Age
1994,S08000019,Under16,13,Age
1994,S08000015,Under16,26,Age
1994,S08000029,Under16,26,Age
1994,S08000032,Under16,28,Age
1994,S08000020,Under16,38,Age
1994,S08000024,Under16,39,Age
1994,S08000030,Under16,40,Age
1994,S08000031,Under16,54,Age
1994,S08000025,Under16,*,Age
1994,S00000000,Under16,*,Age
1995,S08000016,Under16,9,Age
1995,S08000017,Under16,10,Age
1995,S08000022,Under16,17,Age
1995,S08000029,Under16,19,Age
1995,S08000015,Under16,20,Age
1995,S08000019,Under16,22,Age
1995,S08000032,Under16,37,Age
1995,S08000030,Under16,39,Age
1995,S08000020,Under16,40,Age
1995,S08000024,Under16,44,Age
1995,S08000031,Under16,55,Age
1996,S08000017,Under16,13,Age
1996,S08000022,Under16,14,Age
1996,S08000029,Under16,19,Age
1996,S08000019,Under16,21,Age
1996,S08000015,Under16,30,Age
1996,S08000030,Under16,30,Age
1996,S08000032,Under16,31,Age
1996,S08000020,Under16,40,Age
1996,S08000024,Under16,57,Age
1996,S08000031,Under16,60,Age
1996,S08000025,Under16,*,Age
1996,S00000000,Under16,*,Age
1996,S08000016,Under16,*,Age
1997,S08000022,Under16,11,Age
1997,S08000019,Under16,16,Age
1997,S08000015,Under16,19,Age
1997,S08000032,Under16,24,Age
1997,S08000020,Under16,28,Age
1997,S08000029,Under16,28,Age
1997,S08000030,Under16,37,Age
1997,S08000024,Under16,50,Age
1997,S08000031,Under16,65,Age
1997,S08000025,Under16,*,Age
1997,S08000016,Under16,*,Age
1997,S08000017,Under16,*,Age
1998,S08000017,Under16,5,Age
1998,S08000022,Under16,9,Age
1998,S08000019,Under16,12,Age
1998,S08000032,Under16,21,Age
1998,S08000015,Under16,23,Age
1998,S08000020,Under16,33,Age
1998,S08000029,Under16,34,Age
1998,S08000024,Under16,40,Age
1998,S08000030,Under16,42,Age
1998,S08000031,Under16,60,Age
1998,S08000025,Under16,*,Age
1998,S08000016,Under16,*,Age
1999,S08000017,Under16,12,Age
1999,S08000015,Under16,14,Age
1999,S08000019,Under16,16,Age
1999,S08000022,Under16,16,Age
1999,S08000029,Under16,17,Age
1999,S08000032,Under16,19,Age
1999,S08000020,Under16,23,Age
1999,S08000030,Under16,36,Age
1999,S08000024,Under16,40,Age
1999,S08000031,Under16,52,Age
1999,S08000025,Under16,*,Age
1999,S08000016,Under16,*,Age
2000,S08000022,Under16,7,Age
2000,S08000017,Under16,10,Age
2000,S08000015,Under16,13,Age
2000,S08000019,Under16,13,Age
2000,S08000029,Under16,21,Age
2000,S08000032,Under16,31,Age
2000,S08000030,Under16,35,Age
2000,S08000020,Under16,37,Age
2000,S08000024,Under16,42,Age
2000,S08000031,Under16,61,Age
2000,S08000025,Under16,*,Age
2000,S08000016,Under16,*,Age
2001,S08000017,Under16,7,Age
2001,S08000019,Under16,15,Age
2001,S08000022,Under16,15,Age
2001,S08000015,Under16,23,Age
2001,S08000020,Under16,23,Age
2001,S08000029,Under16,26,Age
2001,S08000032,Under16,31,Age
2001,S08000030,Under16,37,Age
2001,S08000024,Under16,39,Age
2001,S08000031,Under16,55,Age
2001,S08000025,Under16,*,Age
2001,S08000016,Under16,*,Age
2002,S08000016,Under16,5,Age
2002,S08000017,Under16,6,Age
2002,S08000019,Under16,9,Age
2002,S08000022,Under16,11,Age
2002,S08000029,Under16,22,Age
2002,S08000020,Under16,26,Age
2002,S08000015,Under16,27,Age
2002,S08000032,Under16,27,Age
2002,S08000030,Under16,33,Age
2002,S08000024,Under16,44,Age
2002,S08000031,Under16,63,Age
2002,S08000025,Under16,*,Age
2003,S08000016,Under16,7,Age
2003,S08000022,Under16,11,Age
2003,S08000017,Under16,12,Age
2003,S08000019,Under16,15,Age
2003,S08000015,Under16,19,Age
2003,S08000029,Under16,22,Age
2003,S08000032,Under16,30,Age
2003,S08000030,Under16,33,Age
2003,S08000020,Under16,35,Age
2003,S08000031,Under16,61,Age
2003,S08000024,Under16,68,Age
2003,S00000000,Under16,*,Age
2004,S08000022,Under16,6,Age
2004,S08000017,Under16,13,Age
2004,S08000019,Under16,16,Age
2004,S08000015,Under16,20,Age
2004,S08000029,Under16,20,Age
2004,S08000030,Under16,27,Age
2004,S08000032,Under16,36,Age
2004,S08000020,Under16,41,Age
2004,S08000024,Under16,52,Age
2004,S08000031,Under16,69,Age
2004,S08000025,Under16,*,Age
2004,S08000016,Under16,*,Age
2005,S08000017,Under16,6,Age
2005,S08000016,Under16,11,Age
2005,S08000019,Under16,16,Age
2005,S08000022,Under16,17,Age
2005,S08000015,Under16,22,Age
2005,S08000020,Under16,27,Age
2005,S08000032,Under16,31,Age
2005,S08000029,Under16,32,Age
2005,S08000030,Under16,37,Age
2005,S08000024,Under16,68,Age
2005,S08000031,Under16,74,Age
2005,S08000025,Under16,*,Age
2006,S08000017,Under16,7,Age
2006,S08000022,Under16,15,Age
2006,S08000019,Under16,16,Age
2006,S08000029,Under16,28,Age
2006,S08000015,Under16,37,Age
2006,S08000020,Under16,37,Age
2006,S08000030,Under16,38,Age
2006,S08000032,Under16,40,Age
2006,S08000024,Under16,50,Age
2006,S08000031,Under16,93,Age
2006,S08000016,Under16,*,Age
2007,S08000017,Under16,8,Age
2007,S08000016,Under16,9,Age
2007,S08000019,Under16,16,Age
2007,S08000022,Under16,22,Age
2007,S08000015,Under16,30,Age
2007,S08000029,Under16,33,Age
2007,S08000020,Under16,37,Age
2007,S08000030,Under16,42,Age
2007,S08000032,Under16,47,Age
2007,S08000024,Under16,48,Age
2007,S08000031,Under16,83,Age
2007,S00000000,Under16,*,Age
2008,S08000017,Under16,11,Age
2008,S08000022,Under16,11,Age
2008,S08000019,Under16,15,Age
2008,S08000020,Under16,24,Age
2008,S08000029,Under16,31,Age
2008,S08000015,Under16,34,Age
2008,S08000030,Under16,36,Age
2008,S08000032,Under16,43,Age
2008,S08000024,Under16,56,Age
2008,S08000031,Under16,76,Age
2008,S08000025,Under16,*,Age
2008,S00000000,Under16,*,Age
2008,S08000016,Under16,*,Age
2009,S08000022,Under16,15,Age
2009,S08000019,Under16,16,Age
2009,S08000017,Under16,17,Age
2009,S08000015,Under16,20,Age
2009,S08000020,Under16,32,Age
2009,S08000032,Under16,34,Age
2009,S08000029,Under16,37,Age
2009,S08000030,Under16,39,Age
2009,S08000024,Under16,56,Age
2009,S08000031,Under16,70,Age
2009,S08000025,Under16,*,Age
2009,S08000016,Under16,*,Age
2010,S08000016,Under16,5,Age
2010,S08000017,Under16,7,Age
2010,S08000022,Under16,13,Age
2010,S08000019,Under16,16,Age
2010,S08000029,Under16,25,Age
2010,S08000015,Under16,26,Age
2010,S08000030,Under16,28,Age
2010,S08000020,Under16,38,Age
2010,S08000032,Under16,41,Age
2010,S08000024,Under16,51,Age
2010,S08000031,Under16,62,Age
2010,S08000025,Under16,*,Age
2011,S08000016,Under16,9,Age
2011,S08000015,Under16,11,Age
2011,S08000017,Under16,13,Age
2011,S08000022,Under16,15,Age
2011,S08000019,Under16,18,Age
2011,S08000029,Under16,23,Age
2011,S08000030,Under16,24,Age
2011,S08000020,Under16,29,Age
2011,S08000032,Under16,42,Age
2011,S08000024,Under16,49,Age
2011,S08000031,Under16,53,Age
2011,S08000025,Under16,*,Age
2012,S08000016,Under16,5,Age
2012,S08000017,Under16,8,Age
2012,S08000022,Under16,10,Age
2012,S08000019,Under16,11,Age
2012,S08000029,Under16,15,Age
2012,S08000015,Under16,18,Age
2012,S08000020,Under16,22,Age
2012,S08000030,Under16,25,Age
2012,S08000032,Under16,35,Age
2012,S08000024,Under16,40,Age
2012,S08000031,Under16,61,Age
2012,S08000025,Under16,*,Age
2013,S08000016,Under16,6,Age
2013,S08000022,Under16,11,Age
2013,S08000020,Under16,15,Age
2013,S08000029,Under16,16,Age
2013,S08000015,Under16,18,Age
2013,S08000019,Under16,18,Age
2013,S08000030,Under16,24,Age
2013,S08000032,Under16,26,Age
2013,S08000031,Under16,40,Age
2013,S08000024,Under16,46,Age
2013,S08000025,Under16,*,Age
2013,S08000017,Under16,*,Age
2014,S08000017,Under16,7,Age
2014,S08000022,Under16,9,Age
2014,S08000029,Under16,10,Age
2014,S08000015,Under16,11,Age
2014,S08000019,Under16,14,Age
2014,S08000030,Under16,19,Age
2014,S08000020,Under16,21,Age
2014,S08000024,Under16,23,Age
2014,S08000032,Under16,26,Age
2014,S08000031,Under16,33,Age
2014,S08000016,Under16,*,Age
2015,S08000019,Under16,5,Age
2015,S08000022,Under16,8,Age
2015,S08000029,Under16,11,Age
2015,S08000015,Under16,12,Age
2015,S08000020,Under16,14,Age
2015,S08000030,Under16,16,Age
2015,S08000024,Under16,20,Age
2015,S08000031,Under16,22,Age
2015,S08000032,Under16,22,Age
2015,S08000016,Under16,*,Age
2015,S08000017,Under16,*,Age
2016,S08000020,Under16,7,Age
2016,S08000019,Under16,8,Age
2016,S08000015,Under16,10,Age
2016,S08000022,Under16,10,Age
2016,S08000029,Under16,11,Age
2016,S08000024,Under16,13,Age
2016,S08000030,Under16,13,Age
2016,S08000031,Under16,20,Age
2016,S08000032,Under16,23,Age
2016,S08000025,Under16,*,Age
2016,S08000016,Under16,*,Age
2016,S08000017,Under16,*,Age
2017,S08000022,Under16,5,Age
2017,S08000019,Under16,6,Age
2017,S08000020,Under16,6,Age
2017,S08000015,Under16,9,Age
2017,S08000029,Under16,10,Age
2017,S08000030,Under16,15,Age
2017,S08000032,Under16,15,Age
2017,S08000024,Under16,16,Age
2017,S08000031,Under16,21,Age
2017,S08000016,Under16,*,Age
2017,S08000017,Under16,*,Age
2018,S08000020,Under16,9,Age
2018,S08000029,Under16,9,Age
2018,S08000032,Under16,9,Age
2018,S08000030,Under16,10,Age
2018,S08000015,Under16,16,Age
2018,S08000024,Under16,20,Age
2018,S08000031,Under16,28,Age
2018,S08000016,Under16,*,Age
2018,S08000017,Under16,*,Age
2018,S08000019,Under16,*,Age
2018,S08000022,Under16,*,Age
2019,S08000016,Under16,5,Age
2019,S08000019,Under16,5,Age
2019,S08000020,Under16,8,Age
2019,S08000015,Under16,11,Age
2019,S08000029,Under16,14,Age
2019,S08000030,Under16,16,Age
2019,S08000032,Under16,17,Age
2019,S08000024,Under16,23,Age
2019,S08000031,Under16,30,Age
2019,S08000025,Under16,*,Age
2019,S08000017,Under16,*,Age
2019,S08000022,Under16,*,Age
2020,S08000015,Under16,5,Age
2020,S08000019,Under16,5,Age
2020,S08000020,Under16,5,Age
2020,S08000029,Under16,9,Age
2020,S08000030,Under16,10,Age
2020,S08000032,Under16,13,Age
2020,S08000024,Under16,20,Age
2020,S08000031,Under16,27,Age
2020,S00000000,Under16,*,Age
2020,S08000016,Under16,*,Age
2020,S08000017,Under16,*,Age
2020,S08000022,Under16,*,Age
1992,S00000000,10 to 13,8,Gestation
1992,S08000025,10 to 13,34,Gestation
1992,S08000016,10 to 13,65,Gestation
1992,S08000017,10 to 13,80,Gestation
1992,S08000019,10 to 13,260,Gestation
1992,S08000022,10 to 13,260,Gestation
1992,S08000029,10 to 13,275,Gestation
1992,S08000030,10 to 13,309,Gestation
1992,S08000015,10 to 13,316,Gestation
1992,S08000020,10 to 13,396,Gestation
